Scientific Name ,Taxon ,Year ,Status ,received ,Budget ,O_U
Asclepias welshii ,Plant ,1992,-3,0.12,"$138,333 ",Under
Gouania meyenii ,Plant ,1998,-3,0.11,"$48,051 ",Under
Diellia erecta ,Plant ,1999,-3,0.11,"$135,600 ",Under
Cyanea truncata ,Plant ,1998,-3,0.1,"$48,051 ",Under
Pediocactus bradyi ,Plant ,1985,-3,0.09,"$139,603 ",Under
Astragalus ampullarioides ,Plant ,2006,-3,0.09,"$446,252 ",Under
Panicum niihauense ,Plant ,1999,-3,0.08,"$135,600 ",Under
Schiedea spergulina spergulina ,Plant ,1995,-3,0.08,"$66,531 ",Under
Gilia tenuiflora hoffmannii ,Plant ,2000,-3,0.08,"$134,792 ",Under
Cyrtandra limahuliensis ,Plant ,1995,-3,0.08,"$66,531 ",Under
Arabis hoffmannii ,Plant ,2000,-3,0.08,"$134,792 ",Under
Melicope saint-johnii ,Plant ,1998,-3,0.08,"$48,051 ",Under
Zanthoxylum dipetalum tomentosum ,Plant ,1998,-3,0.07,"$77,996 ",Under
Centaurium sebaeoides ,Plant ,1999,-3,0.07,"$135,600 ",Under
Chamaesyce deppeana ,Plant ,1998,-3,0.07,"$48,051 ",Under
Cyathea dryopteroides ,Plant ,1991,-3,0.07,"$29,070 ",Under
Astragalus cremnophylax cremnophylax ,Plant ,2006,-3,0.07,"$223,416 ",Under
Eragrostis fosbergii ,Plant ,1998,-3,0.07,"$48,051 ",Under
Chamaesyce kuwaleana ,Plant ,1998,-3,0.07,"$48,051 ",Under
Diellia pallida ,Plant ,1995,-3,0.07,"$66,531 ",Under
Echinocereus chisoensis chisoensis ,Plant ,1993,-3,0.06,"$132,805 ",Under
Neraudia sericea ,Plant ,1999,-3,0.06,"$135,600 ",Under
Poa sandvicensis ,Plant ,1995,-3,0.06,"$66,531 ",Under
Asplenium scolopendrium americanum ,Plant ,1993,-3,0.06,"$120,170 ",Under
Dubautia latifolia ,Plant ,1995,-3,0.06,"$66,531 ",Under
Lipochaeta micrantha ,Plant ,1995,-3,0.05,"$66,531 ",Under
Silene alexandri ,Plant ,1996,-3,0.05,"$109,168 ",Under
Stenogyne bifida ,Plant ,1996,-3,0.05,"$114,626 ",Under
Clermontia.oblongifolia.brevipes,Plant,1996,-3,0.05,114626,Under
Ilex cookii ,Plant ,1991,-3,0.05,"$29,070 ",Under
Santalum freycinetianum lanaiense ,Plant ,1995,-3,0.05,"$242,844 ",Under
Labordia lydgatei ,Plant ,1994,-3,0.04,"$130,612 ",Under
Solanum drymophilum ,Plant ,1992,-3,0.04,"$104,303 ",Under
Melicope reflexa ,Plant ,1996,-3,0.04,"$114,626 ",Under
Schiedea lydgatei ,Plant ,1996,-3,0.04,"$114,626 ",Under
Pritchardia viscosa ,Plant ,1998,-3,0.03,"$173,495 ",Under
Hibiscus waimeae hannerae ,Plant ,1998,-3,0.03,"$173,495 ",Under
Amaranthus brownii ,Plant ,1998,-3,0.02,"$135,884 ",Under
Cryptantha crassipes ,Plant ,1994,-3,0.02,"$209,464 ",Under
Cyanea remyi ,Plant ,1998,-3,0.02,"$173,495 ",Under
Cyanea glabra ,Plant ,2002,-3,0.02,"$467,720 ",Under
Echinomastus mariposensis ,Plant ,1990,-3,0.02,"$146,316 ",Under
Phyllostegia glabra lanaiensis ,Plant ,1995,-3,0.02,"$242,844 ",Under
Pilosocereus robinii ,Plant ,1989,-3,0.01,"$5,627,059 ",Under
Geranium multiflorum ,Plant ,1997,-3,0.01,"$1,105,024 ",Under
Geranium arboreum ,Plant ,1997,-3,0.01,"$1,105,024 ",Under
Argyroxiphium sandwicense macrocephalum ,Plant ,1997,-3,0.01,"$1,105,024 ",Under
Hedyotis schlechtendahliana remyi ,Plant ,2002,-3,0.01,"$467,720 ",Under
Orcuttia viscida ,Plant ,2006,-3,0.01,"$2,084,542 ",Under
Tetramolopium capillare ,Plant ,1997,-3,0.01,"$1,105,024 ",Under
Melicope munroi ,Plant ,2002,-3,0.01,"$467,720 ",Under
Mariscus fauriei ,Plant ,1997,-3,0.01,"$1,105,024 ",Under
Melicope balloui ,Plant ,1997,-3,0,"$1,105,024 ",Under
Lipochaeta kamolensis ,Plant ,1997,-3,0,"$1,105,024 ",Under
Polygonella basiramia ,Plant ,1989,-3,0,"$5,627,059 ",Under
Jacquemontia reclinata ,Plant ,1989,-3,0,"$5,627,059 ",Under
Liatris ohlingerae ,Plant ,1989,-3,0,"$5,627,059 ",Under
Cucurbita okeechobeensis okeechobeensis ,Plant ,1989,-3,0,"$5,627,059 ",Under
Chorizanthe valida ,Plant ,1998,-2,0.89,"$32,204 ",Under
Hesperomannia arborescens ,Plant ,1998,-2,0.88,"$48,051 ",Under
Cyanea superba ,Plant ,1998,-2,0.72,"$48,051 ",Under
Phyllostegia kaalaensis ,Plant ,1998,-2,0.72,"$48,051 ",Under
Asplenium fragile insulare ,Plant ,1998,-2,0.69,"$121,090 ",Under
Cyanea longiflora ,Plant ,1998,-2,0.65,"$48,051 ",Under
Chorizanthe howellii ,Plant ,1998,-2,0.65,"$32,204 ",Under
Cyanea grimesiana obatae ,Plant ,1998,-2,0.54,"$48,051 ",Under
Alsinidendron trinerve ,Plant ,1998,-2,0.5,"$48,051 ",Under
Cyanea crispa ,Plant ,1998,-2,0.49,"$48,051 ",Under
Rhododendron chapmanii ,Plant ,1983,-2,0.43,"$54,600 ",Under
Myrsine juddii ,Plant ,1998,-2,0.43,"$48,051 ",Under
Clermontia.peleana,Plant,1996,-2,0.41,33265,Under
Diellia falcata ,Plant ,1998,-2,0.35,"$48,051 ",Under
Pritchardia affinis ,Plant ,1996,-2,0.33,"$33,265 ",Under
Pteris lidgatei ,Plant ,1998,-2,0.32,"$121,090 ",Under
Goetzea elegans ,Plant ,1987,-2,0.28,"$64,917 ",Under
Cyrtandra tintinnabula ,Plant ,1996,-2,0.26,"$33,265 ",Under
Ischaemum byrone ,Plant ,1996,-2,0.26,"$33,265 ",Under
Arabis perstellata ,Plant ,1997,-2,0.24,"$60,658 ",Under
Sarracenia rubra jonesii ,Plant ,1990,-2,0.24,"$126,083 ",Under
Auerodendron pauciflorum ,Plant ,1997,-2,0.23,"$15,708 ",Under
Achyranthes splendens rotundata ,Plant ,1993,-2,0.22,"$30,112 ",Under
Deinandra conjugens ,Plant ,2004,-2,0.21,"$1,018,264 ",Under
Campanula robinsiae ,Plant ,1994,-2,0.2,"$17,035 ",Under
Sarracenia rubra alabamensis ,Plant ,1992,-2,0.19,"$54,780 ",Under
Stenogyne angustifolia angustifolia ,Plant ,1993,-2,0.18,"$278,262 ",Under
Camissonia benitensis ,Plant ,2006,-2,0.18,"$180,496 ",Under
Lyonia truncata proctorii ,Plant ,1995,-2,0.16,"$16,150 ",Under
Cordia bellonis ,Plant ,1999,-2,0.15,"$37,333 ",Under
Astragalus lentiginosus piscinensis ,Plant ,1998,-2,0.14,"$130,216 ",Under
Mitracarpus maxwelliae ,Plant ,1998,-2,0.14,"$17,001 ",Under
Plagiobothrys hirtus ,Plant ,2003,-2,0.13,"$362,712 ",Under
Dudleya verityi ,Plant ,1999,-2,0.13,"$62,440 ",Under
Dudleya abramsii parva ,Plant ,1999,-2,0.12,"$62,440 ",Under
Harrisia portoricensis ,Plant ,1996,-2,0.12,"$36,507 ",Under
Cyperus trachysanthos ,Plant ,1999,-2,0.12,"$135,600 ",Under
Abronia macrocarpa ,Plant ,1992,-2,0.12,"$112,576 ",Under
Sedum integrifolium leedyi ,Plant ,1998,-2,0.11,"$85,228 ",Under
Cirsium pitcheri ,Plant ,2002,-2,0.1,"$525,382 ",Under
Pediocactus peeblesianus peeblesianus ,Plant ,1984,-2,0.1,"$99,307 ",Under
Gouania hillebrandii ,Plant ,1990,-2,0.1,"$36,312 ",Under
Phyllostegia mannii ,Plant ,1996,-2,0.09,"$114,626 ",Under
Calyptranthes thomasiana ,Plant ,1997,-2,0.09,"$41,567 ",Under
Cornutia obovata ,Plant ,1992,-2,0.09,"$49,247 ",Under
Purshia subintegra ,Plant ,1995,-2,0.09,"$188,037 ",Under
Arctostaphylos confertiflora ,Plant ,2000,-2,0.08,"$134,792 ",Under
Remya montgomeryi ,Plant ,1995,-2,0.08,"$66,531 ",Under
Cyanea platyphylla ,Plant ,1998,-2,0.07,"$77,996 ",Under
Malacothrix indecora ,Plant ,2000,-2,0.07,"$134,792 ",Under
Aristida portoricensis ,Plant ,1994,-2,0.06,"$59,922 ",Under
Cranichis ricartii ,Plant ,1996,-2,0.06,"$37,000 ",Under
Stenogyne campanulata ,Plant ,1995,-2,0.06,"$66,531 ",Under
Lembertia congdonii ,Plant ,1998,-2,0.06,"$1,303,363 ",Under
Cyanea asarifolia ,Plant ,1995,-2,0.06,"$66,531 ",Under
Labordia triflora ,Plant ,2002,-2,0.04,"$467,720 ",Under
Schoepfia.arenaria,Plant,1992,-2,0.04,107070,Under
Cyanea procera ,Plant ,1996,-2,0.03,"$114,626 ",Under
Alsinidendron viscosum ,Plant ,1998,-2,0.03,"$173,495 ",Under
Cyanea undulata ,Plant ,1994,-2,0.03,"$130,612 ",Under
Bidens micrantha kalealaha ,Plant ,1997,-2,0.03,"$1,105,024 ",Under
Banara vanderbiltii ,Plant ,1991,-2,0.03,"$95,190 ",Under
Hesperomannia lydgatei ,Plant ,1994,-2,0.02,"$130,612 ",Under
Cyanea mannii ,Plant ,1996,-2,0.02,"$114,626 ",Under
Phyllostegia wawrana ,Plant ,1998,-2,0.02,"$173,495 ",Under
Potamogeton clystocarpus ,Plant ,1994,-2,0.02,"$135,543 ",Under
Erysimum capitatum angustatum ,Plant ,1984,-2,0.02,"$1,029,155 ",Under
Cyanea macrostegia gibsonii ,Plant ,1995,-2,0.02,"$242,844 ",Under
Cyanea copelandii haleakalaensis ,Plant ,2002,-2,0.01,"$467,720 ",Under
Gahnia lanaiensis ,Plant ,1995,-2,0.01,"$242,844 ",Under
Coryphantha minima ,Plant ,1984,-2,0.01,"$95,573 ",Under
Allium munzii ,Plant ,1997,-2,0.01,"$1,105,024 ",Under
Quercus hinckleyi ,Plant ,1992,-2,0.01,"$196,013 ",Under
Huperzia mannii ,Plant ,1997,-2,0.01,"$1,105,024 ",Under
Melicope ovalis ,Plant ,1997,-2,0.01,"$1,105,024 ",Under
Melicope mucronulata ,Plant ,1997,-2,0.01,"$1,105,024 ",Under
Cyanea lobata ,Plant ,1997,-2,0.01,"$1,105,024 ",Under
Cirsium hydrophilum hydrophilum ,Plant ,2014,-2,0,"$5,183,564 ",Under
Clitoria fragrans ,Plant ,1989,-2,0,"$5,627,059 ",Under
Eriophyllum latilobum ,Plant ,1998,-2,0,"$4,415,840 ",Under
Polygonella myriophylla ,Plant ,1989,-2,0,"$5,627,059 ",Under
Parvisedum leiocarpum ,Plant ,2006,-2,0,"$2,084,542 ",Under
Polygala smallii ,Plant ,1989,-2,0,"$5,627,059 ",Under
Nototrichium humile ,Plant ,1998,-1,0.81,"$48,051 ",Under
Lupinus sulphureus ,Plant ,2010,-1,0.81,"$306,421 ",Under
Aeschynomene virginica ,Plant ,1995,-1,0.8,"$103,275 ",Under
Sanicula mariversa ,Plant ,1998,-1,0.77,"$48,051 ",Under
Chamaesyce celastroides kaenana ,Plant ,1998,-1,0.68,"$48,051 ",Under
Silene spaldingii ,Plant ,2007,-1,0.68,"$285,468 ",Under
Chamaesyce herbstii ,Plant ,1998,-1,0.65,"$48,051 ",Under
Townsendia aprica ,Plant ,1993,-1,0.58,"$28,980 ",Under
Cyanea st-johnii ,Plant ,1998,-1,0.49,"$48,051 ",Under
Physaria obcordata ,Plant ,1993,-1,0.48,"$15,899 ",Under
Urera kaalae ,Plant ,1998,-1,0.46,"$48,051 ",Under
Nitrophila mohavensis ,Plant ,1990,-1,0.46,"$68,094 ",Under
Stenogyne kanehoana ,Plant ,1998,-1,0.44,"$48,051 ",Under
Conradina verticillata ,Plant ,1996,-1,0.38,"$48,100 ",Under
Lomatium cookii ,Plant ,2013,-1,0.37,"$219,688 ",Under
Lesquerella congesta ,Plant ,1993,-1,0.36,"$21,198 ",Under
Schoenocrambe barnebyi ,Plant ,1994,-1,0.34,"$14,304 ",Under
Chamaesyce.skottsbergii.kalaeloana,Plant,1993,-1,0.32,30112,Under
Lithophragma maximum ,Plant ,1984,-1,0.31,"$90,048 ",Under
Thelypteris yaucoensis ,Plant ,1995,-1,0.28,"$8,233 ",Under
Platanthera leucophaea ,Plant ,1999,-1,0.27,"$354,333 ",Under
Catesbaea melanocarpa ,Plant ,2005,-1,0.26,"$61,999 ",Under
Vernonia proctorii ,Plant ,1995,-1,0.24,"$16,150 ",Under
Aristida chaseae ,Plant ,1995,-1,0.23,"$16,150 ",Under
Callicarpa ampla ,Plant ,1995,-1,0.23,"$19,176 ",Under
Munroidendron racemosum ,Plant ,1995,-1,0.22,"$66,531 ",Under
Ctenitis squamigera ,Plant ,1998,-1,0.18,"$121,090 ",Under
Elaphoglossum serpens ,Plant ,1995,-1,0.18,"$8,233 ",Under
Ottoschulzia rhodoxylon ,Plant ,1994,-1,0.14,"$53,642 ",Under
Abutilon menziesii ,Plant ,1995,-1,0.14,"$242,844 ",Under
Ilex sintenisii ,Plant ,1995,-1,0.14,"$19,176 ",Under
Polygonum hickmanii ,Plant ,1998,-1,0.13,"$33,348 ",Under
Dudleya cymosa marcescens ,Plant ,1999,-1,0.13,"$62,440 ",Under
Solanum sandwicense ,Plant ,1995,-1,0.13,"$63,507 ",Under
Canavalia molokaiensis ,Plant ,1996,-1,0.13,"$114,626 ",Under
Mariscus pennatiformis ,Plant ,1999,-1,0.12,"$135,600 ",Under
Pritchardia munroi ,Plant ,1996,-1,0.12,"$114,626 ",Under
Pediocactus knowltonii ,Plant ,1985,-1,0.12,"$117,903 ",Under
Ipomopsis sancti-spiritus ,Plant ,2002,-1,0.12,"$82,238 ",Under
Cyrtandra munroi ,Plant ,1995,-1,0.11,"$242,844 ",Under
Bidens wiebkei ,Plant ,1996,-1,0.11,"$114,626 ",Under
Lipochaeta lobata leptophylla ,Plant ,1998,-1,0.11,"$48,051 ",Under
Melicope pallida ,Plant ,1995,-1,0.1,"$66,531 ",Under
Lobelia monostachya ,Plant ,1998,-1,0.1,"$48,051 ",Under
Lessingia germanorum ,Plant ,2003,-1,0.1,"$181,769 ",Under
Pleodendron macranthum ,Plant ,1998,-1,0.1,"$45,522 ",Under
Cordylanthus palmatus ,Plant ,1998,-1,0.09,"$1,303,380 ",Under
Diellia unisora ,Plant ,1998,-1,0.09,"$48,051 ",Under
Phyllostegia hispida ,Plant ,2013,-1,0.08,"$668,712 ",Under
Delissea rhytidosperma ,Plant ,1995,-1,0.08,"$66,531 ",Under
Lipochaeta fauriei ,Plant ,1995,-1,0.08,"$66,531 ",Under
Galium buxifolium ,Plant ,2000,-1,0.08,"$134,792 ",Under
Schiedea spergulina leiopoda ,Plant ,1995,-1,0.07,"$66,531 ",Under
Chamaesyce halemanui ,Plant ,1995,-1,0.07,"$66,531 ",Under
Diplazium molokaiense ,Plant ,1998,-1,0.07,"$121,090 ",Under
Platanthera holochila ,Plant ,1999,-1,0.07,"$135,600 ",Under
Justicia cooleyi ,Plant ,1994,-1,0.06,"$17,035 ",Under
Hibiscus clayi ,Plant ,1995,-1,0.06,"$66,531 ",Under
Schiedea apokremnos ,Plant ,1995,-1,0.06,"$66,531 ",Under
Hedyotis st.-johnii ,Plant ,1995,-1,0.06,"$66,531 ",Under
Thelypteris pilosa alabamensis ,Plant ,1996,-1,0.06,"$29,107 ",Under
Gesneria.pauciflora,Plant,1998,-1,0.05,38133,Under
Melicope quadrangularis ,Plant ,1995,-1,0.05,"$66,531 ",Under
Monolopia congdonii ,Plant ,1998,-1,0.05,"$1,303,380 ",Under
Hedyotis mannii ,Plant ,1996,-1,0.05,"$114,626 ",Under
Lysimachia filifolia ,Plant ,1995,-1,0.05,"$66,531 ",Under
Hibiscadelphus distans ,Plant ,1996,-1,0.05,"$200,762 ",Under
Achyranthes mutica ,Plant ,1999,-1,0.05,"$135,600 ",Under
Tetramolopium rockii ,Plant ,1996,-1,0.04,"$114,626 ",Under
Marsilea villosa ,Plant ,1996,-1,0.04,"$209,338 ",Under
Cyrtandra cyaneoides ,Plant ,1998,-1,0.03,"$173,495 ",Under
Eremalche kernensis ,Plant ,1998,-1,0.03,"$1,303,380 ",Under
Orcuttia tenuis ,Plant ,2006,-1,0.03,"$2,084,542 ",Under
Schiedea verticillata ,Plant ,1998,-1,0.02,"$135,884 ",Under
Pritchardia napaliensis ,Plant ,1998,-1,0.02,"$173,495 ",Under
Cyanea dunbarii ,Plant ,1998,-1,0.02,"$699,032 ",Under
Abutilon eremitopetalum ,Plant ,1995,-1,0.02,"$242,844 ",Under
Gardenia brighamii ,Plant ,1993,-1,0.02,"$839,436 ",Under
Schiedea helleri ,Plant ,1998,-1,0.02,"$173,495 ",Under
Hymenoxys herbacea ,Plant ,1990,-1,0.01,"$708,262 ",Under
Melicope adscendens ,Plant ,1997,-1,0.01,"$1,105,024 ",Under
Orcuttia inaequalis ,Plant ,2006,-1,0.01,"$2,084,542 ",Under
Schiedea haleakalensis ,Plant ,1997,-1,0.01,"$1,105,024 ",Under
Lesquerella perforata ,Plant ,2006,-1,0.01,"$1,486,540 ",Under
Clermontia oblongifolia mauiensis ,Plant ,1997,-1,0.01,"$1,105,024 ",Under
Remya mauiensis ,Plant ,1997,-1,0.01,"$1,105,024 ",Under
Cladonia perforata ,Plant ,1989,-1,0,"$5,627,059 ",Under
Lysimachia lydgatei ,Plant ,1997,-1,0,"$1,105,024 ",Under
Schiedea sarmentosa ,Plant ,1998,-1,0,"$699,032 ",Under
Cirsium fontinale fontinale ,Plant ,1998,-1,0,"$4,415,840 ",Under
Ceanothus ferrisae ,Plant ,1998,-1,0,"$4,415,840 ",Under
Castilleja affinis neglecta ,Plant ,1998,-1,0,"$4,415,840 ",Under
Cordylanthus tenuis capillaris ,Plant ,1998,-1,0,"$4,415,840 ",Under
Chamaesyce garberi ,Plant ,1989,-1,0,"$5,627,059 ",Under
Navarretia leucocephala plieantha ,Plant ,2006,-1,0,"$2,084,542 ",Under
Pritchardia kaalae ,Plant ,1998,0,0.82,"$48,051 ",Under
Phlegmariurus nutans ,Plant ,1998,0,0.79,"$48,051 ",Under
Hedyotis parvula ,Plant ,1998,0,0.73,"$48,051 ",Under
Tetramolopium filiforme ,Plant ,1998,0,0.71,"$48,051 ",Under
Thelypodium howellii spectabilis ,Plant ,2002,0,0.68,"$66,048 ",Under
Lipochaeta tenuifolia ,Plant ,1998,0,0.67,"$48,051 ",Under
Dubautia herbstobatae ,Plant ,1998,0,0.66,"$48,051 ",Under
Hedyotis degeneri ,Plant ,1998,0,0.65,"$48,051 ",Under
Arabis macdonaldiana ,Plant ,1984,0,0.62,"$100,053 ",Under
Cupressus abramsiana ,Plant ,1998,0,0.62,"$14,729 ",Under
Silene.lanceolata,Plant,1996,0,0.61,109168,Under
Spermolepis hawaiiensis ,Plant ,1999,0,0.6,"$135,600 ",Under
Clermontia lindseyana ,Plant ,1996,0,0.58,"$33,265 ",Under
Solanum incompletum ,Plant ,1999,0,0.55,"$126,560 ",Under
Ayenia limitaris ,Plant ,2014,0,0.55,"$52,500 ",Under
Astrophytum asterias ,Plant ,2003,0,0.5,"$103,124 ",Under
Phlox nivalis texensis ,Plant ,1995,0,0.46,"$104,300 ",Under
Arctostaphylos morroensis ,Plant ,1998,0,0.45,"$46,065 ",Under
Halophila johnsonii ,Plant ,2002,0,0.41,"$1,498,550 ",Under
Hibiscus brackenridgei ,Plant ,1999,0,0.39,"$135,600 ",Under
Trillium persistens ,Plant ,1984,0,0.36,"$16,725 ",Under
Penstemon haydenii ,Plant ,1992,0,0.35,"$107,589 ",Under
Arabis serotina ,Plant ,1991,0,0.34,"$38,817 ",Under
Tectaria estremerana ,Plant ,1995,0,0.34,"$8,233 ",Under
Carex lutea ,Plant ,2013,0,0.33,"$48,620 ",Under
Schoenocrambe argillacea ,Plant ,1994,0,0.33,"$14,304 ",Under
Lesquerella thamnophila ,Plant ,2004,0,0.32,"$70,315 ",Under
Ivesia kingii eremica ,Plant ,1990,0,0.3,"$68,094 ",Under
Mentzelia leucophylla ,Plant ,1990,0,0.29,"$68,094 ",Under
Cupressus goveniana goveniana ,Plant ,2004,0,0.29,"$33,723 ",Under
Astragalus montii ,Plant ,1995,0,0.28,"$16,830 ",Under
Solidago albopilosa ,Plant ,2009,0,0.28,"$30,738 ",Under
Sagittaria secundifolia ,Plant ,1991,0,0.28,"$53,580 ",Under
Thlaspi californicum ,Plant ,2003,0,0.28,"$37,592 ",Under
Cyanea hamatiflora carlsonii ,Plant ,1996,0,0.27,"$33,265 ",Under
Enceliopsis nudicaulis corrugata ,Plant ,1990,0,0.26,"$68,094 ",Under
Mimulus glabratus michiganensis ,Plant ,1997,0,0.23,"$41,655 ",Under
Polystichum aleuticum ,Plant ,1992,0,0.22,"$70,716 ",Under
Myrcia paganii ,Plant ,1997,0,0.22,"$15,708 ",Under
Pedicularis furbishiae ,Plant ,1991,0,0.21,"$51,015 ",Under
Xylosma crenatum ,Plant ,1995,0,0.21,"$66,531 ",Under
Astragalus tener titi ,Plant ,2004,0,0.21,"$33,723 ",Under
Thelypteris inabonensis ,Plant ,1995,0,0.2,"$8,233 ",Under
Thelypteris verecunda ,Plant ,1995,0,0.19,"$8,233 ",Under
Trifolium trichocalyx ,Plant ,2004,0,0.18,"$33,723 ",Under
Solidago houghtonii ,Plant ,1997,0,0.18,"$66,766 ",Under
Oenothera avita eurekensis ,Plant ,1982,0,0.15,"$95,597 ",Under
Ternstroemia subsessilis ,Plant ,1995,0,0.15,"$19,176 ",Under
Cirsium vinaceum ,Plant ,1993,0,0.13,"$192,395 ",Under
Leptocereus grantianus ,Plant ,1995,0,0.13,"$31,620 ",Under
Echinocereus triglochidiatus arizonicus ,Plant ,1984,0,0.13,"$98,187 ",Under
Melicope zahlbruckneri ,Plant ,1998,0,0.13,"$77,996 ",Under
Eriogonum gypsophilum ,Plant ,1984,0,0.12,"$79,893 ",Under
Phacelia formosula ,Plant ,1986,0,0.12,"$46,860 ",Under
Ternstroemia.luquillensis,Plant,1995,0,0.12,19176,Under
Malacothamnus fasciculatus nesioticus ,Plant ,2000,0,0.09,"$134,792 ",Under
Solidago spithamaea ,Plant ,1987,0,0.08,"$40,658 ",Under
Malacothrix squalida ,Plant ,2000,0,0.07,"$134,792 ",Under
Lesquerella lyrata ,Plant ,1996,0,0.07,"$29,107 ",Under
Amsonia kearneyana ,Plant ,1993,0,0.07,"$124,131 ",Under
Dudleya nesiotica ,Plant ,2000,0,0.07,"$134,792 ",Under
Echinocactus horizonthalonius nicholii ,Plant ,1986,0,0.06,"$137,740 ",Under
Lepanthes eltoroensis ,Plant ,1996,0,0.06,"$37,000 ",Under
Thalictrum cooleyi ,Plant ,1994,0,0.06,"$111,208 ",Under
Trichilia triacantha ,Plant ,1991,0,0.05,"$74,670 ",Under
Juglans jamaicensis ,Plant ,1999,0,0.04,"$37,333 ",Under
Eugenia haematocarpa ,Plant ,1998,0,0.04,"$45,522 ",Under
Astragalus bibullatus ,Plant ,2011,0,0.04,"$569,100 ",Under
Viola helenae ,Plant ,1994,0,0.03,"$130,612 ",Under
Dubautia pauciflorula ,Plant ,1994,0,0.03,"$130,612 ",Under
Echinocereus triglochidiatus ,Plant ,1984,0,0.02,"$96,320 ",Under
Viola lanaiensis ,Plant ,1995,0,0.02,"$242,844 ",Under
Scaevola coriacea ,Plant ,1997,0,0.02,"$1,105,024 ",Under
Cordylanthus maritimus maritimus ,Plant ,2014,0,0.01,"$5,183,564 ",Under
Hesperolinon congestum ,Plant ,1998,0,0.01,"$4,415,840 ",Under
Cordylanthus mollis mollis ,Plant ,2014,0,0.01,"$5,183,564 ",Under
Lysimachia maxima ,Plant ,1998,0,0.01,"$699,032 ",Under
Clarkia franciscana ,Plant ,1998,0,0.01,"$4,415,840 ",Under
Cyanea mceldowneyi ,Plant ,1997,0,0,"$1,105,024 ",Under
Pentachaeta bellidiflora ,Plant ,1998,0,0,"$4,415,840 ",Under
Calochortus tiburonensis ,Plant ,1998,0,0,"$4,415,840 ",Under
Streptanthus niger ,Plant ,1998,0,0,"$4,415,840 ",Under
Paronychia chartacea ,Plant ,1989,0,0,"$5,627,059 ",Under
Navarretia leucocephala pauciflora ,Plant ,2006,0,0,"$2,084,542 ",Under
Conradina brevifolia ,Plant ,1989,0,0,"$5,627,059 ",Under
Erigeron maguirei ,Plant ,1995,1,0.83,"$23,970 ",Under
Cyrtandra subumbellata ,Plant ,1998,1,0.76,"$48,051 ",Under
Viola chamissoniana chamissoniana ,Plant ,1998,1,0.73,"$48,051 ",Under
Geocarpon minimum ,Plant ,1993,1,0.66,"$69,767 ",Under
Gouania vitifolia ,Plant ,1998,1,0.58,"$48,051 ",Under
Aconitum noveboracense ,Plant ,1983,1,0.47,"$128,700 ",Under
Phlox hirsuta ,Plant ,2006,1,0.46,"$110,226 ",Under
Cenchrus agrimonioides ,Plant ,1999,1,0.43,"$135,600 ",Under
Echinocereus fendleri kuenzleri ,Plant ,1985,1,0.43,"$136,710 ",Under
Lomatium bradshawii ,Plant ,2010,1,0.39,"$306,421 ",Under
Rhynchospora knieskernii ,Plant ,1993,1,0.38,"$41,860 ",Under
Conradina etonia ,Plant ,1994,1,0.29,"$38,936 ",Under
Manihot walkerae ,Plant ,1993,1,0.28,"$95,616 ",Under
Coryphantha.sneedii.leei,Plant,1986,1,0.27,20058,Under
Eugenia woodburyana ,Plant ,1998,1,0.27,"$17,001 ",Under
Sesbania tomentosa ,Plant ,1999,1,0.26,"$135,600 ",Under
Limnanthes floccosa grandiflora ,Plant ,2013,1,0.22,"$219,688 ",Under
Haplostachys haplostachya ,Plant ,1993,1,0.19,"$278,262 ",Under
Mitracarpus polycladus ,Plant ,1998,1,0.19,"$17,001 ",Under
Delissea undulata ,Plant ,1996,1,0.18,"$33,265 ",Under
Penstemon penlandii ,Plant ,1992,1,0.15,"$35,828 ",Under
Brighamia rockii ,Plant ,1996,1,0.15,"$114,626 ",Under
Swallenia alexandrae ,Plant ,1982,1,0.14,"$95,597 ",Under
Tetramolopium lepidotum lepidotum ,Plant ,1998,1,0.13,"$48,051 ",Under
Helianthemum greenei ,Plant ,2000,1,0.12,"$134,792 ",Under
Phyllostegia parviflora ,Plant ,1999,1,0.12,"$135,600 ",Under
Helenium virginicum ,Plant ,2000,1,0.12,"$170,100 ",Under
Nothocestrum peltatum ,Plant ,1995,1,0.11,"$66,531 ",Under
Pritchardia schattaueri ,Plant ,1998,1,0.08,"$77,996 ",Under
Wilkesia hobdyi ,Plant ,1995,1,0.08,"$66,531 ",Under
Argyroxiphium sandwicense sandwicense ,Plant ,1993,1,0.06,"$197,386 ",Under
Eriastrum hooveri ,Plant ,1998,1,0.05,"$1,303,380 ",Under
Arctostaphylos hookeri ravenii ,Plant ,2003,1,0.05,"$181,769 ",Under
Crescentia portoricensis ,Plant ,1991,1,0.04,"$63,270 ",Under
Pritchardia remota ,Plant ,1998,1,0.03,"$135,884 ",Under
Cyanea hamatiflora hamatiflora ,Plant ,2002,1,0.02,"$467,720 ",Under
Suaeda californica ,Plant ,2014,1,0,"$5,183,564 ",Under
Neraudia angulata ,Plant ,1998,2,0.82,"$48,051 ",Under
Helianthus paradoxus ,Plant ,2005,2,0.76,"$84,582 ",Under
Platanthera praeclara ,Plant ,1996,2,0.53,"$487,249 ",Under
Arenaria cumberlandensis ,Plant ,2009,2,0.48,"$25,070 ",Under
Cirsium fontinale obispoense ,Plant ,1998,2,0.42,"$46,065 ",Under
Grindelia fraxino-pratensis ,Plant ,1990,2,0.38,"$68,094 ",Under
